Question,Question_eng,Trigger
هل فول الصويا هو نفسه الفاصوليا؟ لأن الفصوليا البيضاء الصغيرة تشبه فول الصويا، وهل حقا لفول الصويا فوائد في تخفيف أعراض انقطاع الطمث؟,"Are soybeans the same as beans? Because small white beans resemble soybeans, and do soybeans really have benefits in alleviating menopausal symptoms?",0
ما هو الفرق بين الزعتر والزعتر البري؟ وما هي فوائد الزعتر البري؟,What is the difference between thyme and wild thyme? And what are the benefits of wild thyme?,0
هل بذور القاطونة تنزل الوزن؟ وهل فعلًا للقاطونة فوائد صحية؟,Do catnip seeds reduce weight? Does catnip really have health benefits?,0
ما هي فوائد حبوب اللقاح للنساء؟ وهل فعلًا تساهم حبوب اللقاح في التخفيف من أعراض انقطاع الطمث؟,What are the benefits of pollen for women? Do pollen really contribute to alleviating menopausal symptoms?,0
ما هي فوائد اللوز على الريق؟ وهل يساعد تناول اللوز على الريق في تنظيم مستويات سكر الدم؟,What are the benefits of almonds on an empty stomach? Does eating almonds on an empty stomach help regulate blood sugar levels?,0
هل اللوز يعزز الصحة الجنسية؟ وما هي فوائد اللوز للرجال؟,Do almonds enhance sexual health? What are the benefits of almonds for men?,0
تعب نفسي سرحان انقطاع لحظة الفرحه في المنتصف عدم الشعور براحه المستفبليه شعور التوقف وعدم الفائده خيبة امل استرجاع للخلف,"Psychological fatigue, sadness, interruption of the moment of joy in the middle, not feeling the comfort of the future, feeling of stopping and uselessness, disappointment, looking back.",0
ما هي فوائد أكل الرمان يوميا؟ وهل يقي الرمان من حصى الكلى؟,What are the benefits of eating pomegranate daily? Does pomegranate protect against kidney stones?,0
ما هي فوائد سنتروم للنساء؟ وهل يسبب السنتروم زيادة في الوزن؟,What are the benefits of Centrum for women? Does Centrum cause weight gain?,0
ما هي فوائد بذور الشيا الصحية ماذا تفعل بذور الشيا في الجسم؟,What are the health benefits of chia seeds? What do chia seeds do in the body?,0
ما فائدة كريم هاي كوين للوجه؟ وما هي آلية عمله؟,What is the benefit of Hi Queen cream for the face? And how does it work?,0
لدي منتج يحتوي على عرق السوس، أريد أن أعرف ما هي فوائد عرق السوس للبشرة؟,I have a product that contains licorice. I want to know what are the benefits of licorice for the skin?,0
أريد أن أعرف ما هي فوائد بذور الكتان للنساء؟,I want to know what are the benefits of flax seeds for women?,0
ما هي فوائد بذور الشيا مع الماء؟,What are the benefits of chia seeds with water?,0
ما هي فوائد وأضرار زيت الزيتون الصحية؟,What are the health benefits and harms of olive oil?,0
ما هي فوائد بذور الشيا وكيف تستخدم؟,What are the benefits of chia seeds and how are they used?,0
اعاني من نقص مخزون الحديد وانكتبلي حبوب فيروجلوبين يوميا لمدة شهرين فما هي فوائد حبوب فيروجلوبين؟,I suffer from a lack of iron stores and have been taking Feroglobin pills every day for two months. What are the benefits of Feroglobin pills?,0
عندي مشكلة في سرعه القذف السوال هنا أنا اشتريت ثوم ذكر ماهي افضل طريقة لي في استخدامه وأخذ اقوى فائده منه,I have a problem with premature ejaculation. The question is here. I bought male garlic. What is the best way for me to use it and get the strongest benefit from it?,0
ما هي فوائد العصفر للنساء؟ وهل يؤثر على الدورة الشهرية؟,What are the benefits of safflower for women? Does it affect the menstrual cycle?,0
هل يمكن شرب مغلي أوراق الكينا؟ وما هي فوائد أوراق الكينا؟,Is it possible to drink boiled eucalyptus leaves? What are the benefits of eucalyptus leaves?,0
ما هي فوائد عسل الكينا الصحية، وهل عسل الكينا يتبلور؟,"What are the health benefits of eucalyptus honey, and does eucalyptus honey crystallize?",0
ما معنى كامل الدسم؟ وما هي فوائد الحليب كامل الدسم؟,What does full fat mean? What are the benefits of whole milk?,0
ما هي فوائد الزبادي كامل الدسم؟,What are the benefits of full-fat yogurt?,0
ما هي فوائد فيتامين سي للبشرة؟ وهل الكريمات التي تحتوي على فيتامين سي مفيدة؟,What are the benefits of vitamin C for the skin? Are creams containing vitamin C useful?,0
ما هي فوائد الجريب فروت قبل النوم؟ وهل فعلًا يساهم في خسارة الوزن؟,What are the benefits of grapefruit before bed? Does it really contribute to weight loss?,0
ما هو فوائد عسل الكينا؟ و ما هو عشب الكينا؟,What are the benefits of eucalyptus honey? And what is eucalyptus herb?,0
من أي مادة يصنع النشا؟ وما فائدة شرب النشا مع الماء؟,What substance is starch made of? What is the benefit of drinking starch with water?,0
لقد قال لي الطبيب أتناول القرنبيط الأخضر لأنه مليء بمضادات الأكسدة، ولكن ما هي فوائد القرنبيط الأخضر؟,"The doctor told me to eat green cauliflower because it is full of antioxidants, but what are the benefits of green cauliflower?",0
ما هي فوائد المعكرونة للجسم؟ وهل تعد من الأطباق الصحية في حال تم تناولها مع الخضروات وصدر الدجاج؟,What are the benefits of pasta for the body? Is it considered a healthy dish if it is eaten with vegetables and chicken breast?,0
ما هي فوائد البرتقال في جسم الإنسان؟ وهل يساهم شرب البرتقال في الوقاية من عدوى الزكام؟,What are the benefits of oranges in the human body? Does drinking oranges help prevent cold infections?,0
متى يشرب عصير الجريب فروت للحصول على فوائده الصحية وخسارة الوزن؟,When to drink grapefruit juice to get its health benefits and weight loss?,0
هل البطاطا الحلوة المشوية تزيد الوزن؟ وهل لها فوائد صحية؟,Do baked sweet potatoes make you gain weight? And do they have health benefits?,0
ما هي فوائد صلصة الخردل؟ وهل هي نفسها صلصة المسترد,What are the benefits of mustard sauce? Is it the same as mustard sauce?,0
هل حبة البركة هي نفسها الكمون الأسود؟ وما هي فوائد الكمون الأسود الصحية؟,Is black seed the same as black cumin? What are the health benefits of black cumin?,0
هل الأغذية المعدلة وراثيا مضرة في الصحة كما يدعي البعض، وهل لها فوائد صحية تنفرد بها عن الأطعمة الطبيعية؟,"Are genetically modified foods harmful to health, as some claim, and do they have health benefits that are unique to natural foods?",0
ما هي فوائد السمسم للمرأة؟,What are the benefits of sesame for women?,0
أنا نحيفة الوزن وزني هو 40 وطولي 160،وأخضع لنظام غذائي وأتناول دواء لزيادة الحديد ،فهل يمكن تناول شراب زنجبيل وليمون لفوائده دون أن ينقص وزني,I am underweight. My weight is 40 and my height is 160. I am on a diet and I take medication to increase iron. Is it possible to drink ginger and lemon drink for its benefits without losing weight?,0
ما هي فوائد عسل زهرة البرسيم؟ وما هو الفرق بين عسل البرسيم وعسل الموالح؟,What are the benefits of clover flower honey? What is the difference between clover honey and citrus honey?,0
ما هي فوائد واضرار البطاطا الحلوة؟ وهل يمكن تناولها بشكل يومي؟,What are the benefits and harms of sweet potatoes? Can it be taken daily?,0
ما فائدة شرب القهوة في الصباح؟ وكم كوب من القهوة يمكن أن استهلك يوميا دون ظهور آثار سلبية؟,What is the benefit of drinking coffee in the morning? How many cups of coffee can I consume daily without any negative effects?,0
ما هو نبات الخردل وما هي فوائده؟ وهل تختلف فوائد حبوب الخردل عن زيت الخردل؟,What is mustard plant and what are its benefits? Are the benefits of mustard seeds different from mustard oil?,0
ما هي فوائد اكل السمسم الأبيض؟ وما الفرق بين السمسم الأبيض والبني؟,What are the benefits of eating white sesame? What is the difference between white and brown sesame?,0
ما فوائد فيتامين ب1 للجسم؟,What are the benefits of vitamin B1 for the body?,0
ما فائدة مغلي قشر البرتقال؟,What is the benefit of boiling orange peel?,0
كيف يتغذى الإنسان تغذية صحية لتجنب الأمراض؟ وما هي فوائد التغذية السليمة؟,How does a person eat a healthy diet to avoid diseases? What are the benefits of proper nutrition?,0
هل يعتبر الشوفان من البقوليات؟ وما هي فوائد الشوفان بصورة عامة؟,Are oats considered a legume? What are the benefits of oats in general?,0
ما هي فوائد الحنظل للجنس، و كيف يستخدم الحنظل للجنس؟,"What are the benefits of bitter melon for sex, and how is bitter melon used for sex?",0
هل عشبة الشيبة اسم اخر؟ وما ماهي فوائده؟,Is Shiba herb another name? What are its benefits?,0
هل يوجد طريقة محددة أكثر فائدة لتناول بذور السمسم، أي كيف اتناول بذور السمسم؟,"Is there a specific, more beneficial way to eat sesame seeds, i.e. how do I eat sesame seeds?",0
ما هي فوائد حب الرشاد للرجال؟,What are the benefits of cress seeds for men?,0
هل لحم الغنم صحي؟ و ما فوائد اكل لحم الخروف؟,Is lamb meat healthy? What are the benefits of eating lamb meat?,0
ماذا تفعل الطحينة في جسم الإنسان؟ وهل لها فوائد صحية؟,What does tahini do in the human body? Does it have health benefits?,0
هل يوجد فوائد مخصصة لسمك السلمون، أو ما هي فوائد السلمون للرجال؟,"Are there any specific benefits to salmon, or what are the benefits of salmon for men?",0
هل السماق صحي؟ وأريد أن أعرف ما هي فوائد السماق المطحون؟,Is sumac healthy? I want to know what are the benefits of ground sumac?,0
ما هي فوائد السماق للرجال؟,What are the benefits of sumac for men?,0
كم سعرة حرارية في الموزة الكبيرة؟ وما هي فوائد الموز للجسم؟,How many calories are in a large banana? What are the benefits of bananas for the body?,0
ما هي فوائد الخوخ للرجال؟,What are the benefits of peaches for men?,0
ما هي فوائد الخردل للنساء؟ وهل يساهم الخردل في تخفيف أعراض انقطاع الطمث؟,What are the benefits of mustard for women? Does mustard help relieve menopausal symptoms?,0
قرأت كثيراً عن زيت الثوم للشعر، ما فوائد زيت الثوم على الشعر؟,I read a lot about garlic oil for hair. What are the benefits of garlic oil for hair?,0
ما هي العناصر الغذائية وفوائدها؟ وهل من الممكن شرح بسيط لأنواع العناصر الغذائية,What are nutrients and their benefits? Is it possible to explain a simple explanation of the types of nutrients?,0
هل تناول الدهون الصحية يزيد الوزن؟ وما هو أكثر أنواع الدهون فائدة لجسم الإنسان؟,Does eating healthy fats make you gain weight? What are the most beneficial types of fats for the human body?,0
ما هي الحبوب الكاملة وما هي أنواعها وفوائدها؟ وهل العدس والأرز الأبيض من أنواع الحبوب الكاملة؟,What are whole grains and what are their types and benefits? Are lentils and white rice whole grains?,0
ما فائدة العسل الأبيض على الريق؟ وكيف أعرف أن العسل الأبيض أصلي؟,What is the benefit of white honey on an empty stomach? How do I know that white honey is original?,0
أنا أتناول الطحينة مع العديد من الوصفات، ما فوائد الطحينة للجنس؟,I eat tahini with many recipes. What are the benefits of tahini for sex?,0
ماذا يحدث للجسم عند تناول كبدة الدجاج؟ وما هي فوائد وأضرار كبدة الدجاج,What happens to the body when eating chicken liver? What are the benefits and harms of chicken liver?,0
ما فائدة مبيض القهوة؟ وهل يعد بديل صحي للحليب؟,What is the benefit of coffee creamer? Is it a healthy alternative to milk?,0
ما هي فوائد البصل الأبيض؟ وهل له تأثير في القضاء على جرثومة المعدة؟,What are the benefits of white onions? Does it have an effect in eliminating stomach bacteria?,0
أنا أتناول البيض دائماً، ولكن أريد أن أعرف ما هو الأكثر فائدة بياض البيض أم صفاره؟,"I always eat eggs, but I want to know which is more beneficial, the egg white or the yolk?",0
ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,"What are the benefits of black seed oil, or what is known as black seed, and can it be taken daily?",0
ما هي فوائد البابايا للنساء؟ وهل تساهم فعلًا في تنظيم الدورة الشهرية؟,What are the benefits of papaya for women? Does it really contribute to regulating the menstrual cycle?,0
أريد أن أعرف ما فائدة حبوب فيتامين سي للوجه؟,I want to know what is the benefit of vitamin C pills for the face?,0
ما هي فوائد الفول للرجال؟ وهل له فوائد جنسية؟,What are the benefits of beans for men? Does it have sexual benefits?,0
أريد أن أعرف ما الفرق بين التمر المجهول والمجدول؟ و ما فوائد تمر المجهول؟,I want to know what is the difference between Medjool and Medjool dates? What are the benefits of Medjool dates?,0
ما هي فوائد البطاطا الحلوة للنساء؟,What are the benefits of sweet potatoes for women?,0
أريد أن أعرف ما هي فوائد البطاطا الحلوة للرجل؟,I want to know what are the benefits of sweet potatoes for men?,0
ما هي فوائد اللبن للرجال، و هل الحليب مفيد للعضو الذكري؟,"What are the benefits of milk for men, and is milk beneficial for the penis?",0
ماذا تفعل البطاطا في الجسم؟ وما هي فوائدها المحتملة؟,What do potatoes do in the body? What are its potential benefits?,0
ما هو الجلوتين وما هي فوائده؟ وهل يفقد العجين فوائده في حال كان خاليًا من الجلوتين؟,What is gluten and what are its benefits? Does the dough lose its benefits if it is gluten-free?,0
ما هي فوائد أكل الهيل قبل النوم؟ وهل يساهم في التخلص من مشكلة الأرق؟,What are the benefits of eating cardamom before bed? Does it contribute to getting rid of the problem of insomnia?,0
ما هي فوائد الهيل للجنس؟ وكيف يتم تناول الهيل لزيادة الرغبة الجنسية؟,What are the benefits of cardamom for sex? How to take cardamom to increase sexual desire?,0
ما هي فوائد البطاطا الحلوة المشوية؟ وهل البطاطا الحلوة آمنة لمرضى السكري؟,What are the benefits of roasted sweet potatoes? Are sweet potatoes safe for diabetics?,0
ماذا يفعل السمك في جسم الرجل؟ وهل تختلف فوائد السمك بين النساء والرجال؟,What does fish do in a man's body? Do the benefits of fish differ between women and men?,0
أريد أن أعرف هل يوجد فوائد محددة للنساء من البروكلي، أي ما هي فوائد البروكلي للنساء؟,"I want to know whether there are specific benefits for women from broccoli, that is, what are the benefits of broccoli for women?",0
كم مرة يشرب عصير الكرفس؟ وهل يجب شربه يوميًا للحصول على فوائده الصحية؟,How often do you drink celery juice? Should I drink it daily to get its health benefits?,0
ما هي فوائد سمك التونة للجنس؟,What are the benefits of tuna fish for sex?,0
ما هي فوائد الحليب قبل النوم؟ وهل يساهم في التخلص من الأرق؟,What are the benefits of milk before bed? Does it contribute to getting rid of insomnia?,0
ما هي فوائد الخوخ للجنس؟,What are the benefits of peaches for sex?,0
ما هي فوائد المشروبات الغازية؟ وهل يمكن شربها من الحين للآخر؟,What are the benefits of soft drinks? Is it possible to drink it from time to time?,0
ما هي فوائد الصويا صوص؟ وصلصة الصويا هل تزيد الوزن؟,What are the benefits of soy sauce? Does soy sauce increase weight?,0
ما هي فوائد وأضرار السلمون؟ وهل يمكن تناول السلمون بشكل يومي؟,What are the benefits and harms of salmon? Can salmon be eaten daily?,0
هل أكل السمسم قبل النوم يزيد الوزن؟ وما فوائد أكل السمسم قبل النوم؟,Does eating sesame before bed increase weight? What are the benefits of eating sesame before bed?,0
كم ملعقة سمسم في اليوم للحصول على فوائدها الصحية، وهل الإكثار من السمسم له آثار سلبية؟,"How many spoons of sesame seeds per day to get its health benefits, and does eating too much sesame have negative effects?",0
ما هي فوائد الشاي الأخضر وما هي أضراره؟ وهل يمكن شرب الشاي الأخضر قبل النوم؟,What are the benefits of green tea and what are its harms? Is it possible to drink green tea before bed?,0
ماذا يفعل العنب في جسم الإنسان؟ وما هي فوائد اكل العنب؟,What do grapes do in the human body? What are the benefits of eating grapes?,0
ما هي فوائد العنب الأخضر؟ وهل يسبب تهيج في القولون؟,What are the benefits of green grapes? Does it cause irritation in the colon?,0
ما هي فوائد العنب للجنس؟ وما هي فوائده الصحية بشكل عام؟,What are the benefits of grapes for sex? What are its health benefits in general?,0
ما هي فوائد حبة البركة على الريق؟,What are the benefits of black seed on an empty stomach?,0
ما هي فوائد الجريب فروت للجنس؟ وهل له أضرار؟,What are the benefits of grapefruit for sex? Does it cause any harm?,0
مرحبا يا دكتور، أريد أن أعرف ما هي فوائد سمك السلمون للجنس؟,"Hello doctor, I want to know what are the benefits of salmon for sex?",0
أريد أن أعرف ما هي فوائد فول الصويا المطحون؟,I want to know what are the benefits of ground soybeans?,0
أريد أن أعرف لو سمحت ما هو فول الصويا، و ما هي فوائد فول الصويا واضراره؟,"I would like to know, please, what soybeans are, and what are the benefits and harms of soybeans?",0
أريد أن أعرف لو سمحت ما فوائد واضرار جوز الهند؟,"I would like to know, please, what are the benefits and harms of coconut?",0
أريد أن أعرف هل يوجد فوائد خاصة لجوز الهند للرجال؟,I want to know whether there are special benefits of coconut for men?,0
اختي لديها سرطان مبيض واستخدمت دواء واثبت فاعليته ثم بعد شهرين عاد اليها المرض واستخدمت لذلك عدة ادوية دون فائدة هل يمكنها اعادة استخدام نفس الدواء السابق الذي تحسنت بسببه,My sister has ovarian cancer and she used a medication and it proved effective. Then after two months the disease returned and she used several medications to no avail. Can she reuse the same previous medication because of which she improved?,0
كم نوع للحلبة؟ وهل تختلف الحلبة الحمراء عن الحلبة الصفراء من حيث الفائدة؟,How many types of ring? Is red fenugreek different from yellow fenugreek in terms of benefits?,0
ما فائدة حبوب موتوفا بلص؟ وهل هو دواء أم مكمل غذائي؟,What are the benefits of Motova Plus pills? Is it a medicine or a nutritional supplement?,0
ما فائدة حبوب أندرال؟ لأن سمعت أنها تستخدم للتخفيف من الرهاب في الواقف المربكة مثل مناقشة رسالة التخرج,What are the benefits of Inderal pills? Because I've heard it's used to relieve phobias in awkward situations like the graduation thesis defense,0
تكرما.. ما هي جودة عقار ميرافيت فيتامين سي فوار 1000 .. وهل في حال تناوله احصل على كافة فوائد فيتامين سي,"Kindly... what is the quality of Miravit Vitamin C Effervescent 1000... and if I take it, do I get all the benefits of Vitamin C?",0
الحجامه فوايدها وهل الدم الي يطلع هو دم فاسد؟,What are the benefits of cupping? Is the blood that comes out bad blood?,0
أنا أقوم كل صباح بطحن الزبيب الأسود مع اللوز وعين الجمل مع كوب من الماء كل صباح وأريد من فضلكم معرفة فوائده ذلك علما أنني أتناول كثيرا الزبيب بحكم طبيعة...,"Every morning I grind black raisins with almonds and walnuts with a cup of water. I would like you to please know its benefits, knowing that I eat a lot of raisins due to nature...",0
هل حبوب اللقاح وجينسيج مع العسل يعالجان سرعه القذف؟ وما هي فوائد حبوب اللقاح للرجال؟,Do pollen and ginseng with honey treat premature ejaculation? What are the benefits of pollen for men?,0
هل لزيت الثوم الأسود فوائد إذا دهن القضيب؟,Does black garlic oil benefit the penis?,0
أثنى ٢٥ عام منذ البلوغ وانا أعاني من خربطة الدورة بعد الرجوع للطبيب استخدمت حبوب منع حمل لمدة ٦ أشهر دون فائدة وبعدها البردقوش لمدة عام قبل ٥ أعوام انتظمت...,"I have been 25 years old since puberty and I suffer from irregular menstruation. After going back to the doctor, I used birth control pills for 6 months to no avail, then marjoram for a year. 5 years ago, I got regular...",0
هل ممارسة العادة السرية مرة في الأسبوع له فوائد وما هي أضراره,Does masturbating once a week have benefits and what are its harms?,0
أقوم بالعادة السرية، وقمت بها اليوم وحبست المني فهل من أضرار أو فوائد في ذلك؟ مع العلم أني أقسمت أني لن أقوم بها من جديد. وشكرا,"I masturbate, and I did it today and retained semen. Is there any harm or benefit in that? Knowing that I swore I would never do it again. Thank you",0
ابني 4 س يعاني من صعوبة التنفس ينتفس من بطنه تتحرك كثيرا حسب تشخيص الطبيب ذكر انه لديه التهاب حاد في اللوزتين ووصف له شراب klamer لكن اشعر دون فائدة...,"My son, 4 years old, suffers from difficulty breathing. He breathes from his stomach that moves a lot. According to the doctor’s diagnosis, he mentioned that he has severe tonsillitis and prescribed Klamer syrup for him, but I feel useless...",0
اعاني من صداع شديد لمدة اسبوع حاليا رغم تناول الدواء لكن دون فائدة خاصة بعد التبرع بالدم,"I have been suffering from severe headaches for a week now despite taking medication, but to no avail, especially after donating blood",0
طفلتي عمرها تقريبا سنة وثمانية أشهر وحرارتها تنخفض وترتفع ولديها كحه وأعطتها الدكتورة بنادول وشراب للكحة دون فائدة فما الحل؟,"My child is approximately one year and eight months old, and her temperature goes up and down and she has a cough. The doctor gave her Panadol and syrup for the cough to no avail, so what is the solution?",0
ماهو شراب فيتاماكس ماهي اضراره وماهي فوائده وهل هوا يقوي العظام وفاتح شهيه,"What is Vitamax syrup, what are its harms, what are its benefits, and does it strengthen the bones and stimulate the appetite?",0
"يوجد حبوب على ذقن طفلي وهي مؤلمه
واستخدمت معقمات ومراهم ودون فائده","My child has pimples on his chin and they are painful
I used sterilizers and ointments to no avail",0
"لدي نقص بمخزون الحديد والطبيب طلب مني تسريب حديد وريدي مع سيروم ملحي وسربت بعد يومين بدأ الحيض هل هذا يؤثر على استفادتي من الحديد
ومتى اشعر بفوائد التسريب ؟","I have a deficiency in iron stores, and the doctor asked me for an intravenous iron infusion with a saline serum, and I received the infusion. Two days later, my menstruation began. Does this affect my benefit from iron?
When will I feel the benefits of the infusion?",0
هل تناول البابايا المجفف آمن للحامل فالشهور الأولى؟ وما هي فوائد البابايا بشكل عام؟,Is eating dried papaya safe for pregnant women in the first months? What are the benefits of papaya in general?,0
بنتي عندها روماتزم وتعاني من تعب شديد في المفاصل ونخزة في القلب عمر البنت ١٤ سنة بماذا تنصحني دكتور مع العلم تاخذ ابر بنسلين ولكن دون فائدة,"My daughter has rheumatism and suffers from severe joint fatigue and heart palpitations. The girl is 14 years old. What do you advise me, doctor, knowing that she takes penicillin needles, but to no avail?",0
هل يعمل مغلي الحلبة على زيادة وتحسين الحيوانات المنوية؟ وما هي فوائد الحلبة المغلية للرجال؟,Does boiling fenugreek increase and improve sperm? What are the benefits of boiled fenugreek for men?,0
ماهي فوائد لقاح لحمل لحامل وجنين واذا اخذتها ولجنين لم يتحرك ماذا يحدث,"What are the benefits of the vaccine for a pregnant woman and a fetus? If she takes it and the fetus does not move, what happens?",0
ولكن انا حقا استخدم حارس ليلي لكن يخرج من الفم باليل ايضا بسبب الحساسية نصحني طبيبي باستخدام معجون sensodyne rapid relief له فائدة قليلة ولكن هو افضل من غيرة ،...,"But I actually use a night guard, but it also comes out of the mouth at night due to allergies. My doctor advised me to use Sensodyne Rapid Relief paste. It has little benefit, but it is better than others,...",0
"زوجتى تعانى من تشققات مؤلمة للثدى لم تصل لكرحلة نزول دم من الحلمة لكن ظهر لون ابيض على الحلمة استخدمت بانثينول واورينت وزيت زيتون وميبو ومؤخرا دكتارين جل
دون فائدة...","My wife suffers from painful cracks in the breast. You have not experienced bleeding from the nipple, but a white color has appeared on the nipple. I used Panthenol, Orient, olive oil, Mebo, and recently Daktarin gel.
To no avail...",0
"التهاب حاد في منطقة الفك في الجلد و انا طفل و تسبب في ان منطقه دائريه في منطقة الفك اليمني لونها اسود جربت الليزر و الكريمات دون فائده ..
ايه...","A severe inflammation of the skin in the jaw area when I was a child, and it caused a circular area in the right jaw area to be black in color. I tried lasers and creams to no avail..
any...",0
اذا اخدت حقنه كل ستة أشهر هل لها اضرار على الصحه العامه للجسم واذا تم اخد امصال مناعه لها فائده,"If I take an injection every six months, will it harm the general health of the body? And if immune serums are taken, are they beneficial?",0
"انا بشتغل فترات طويلة على الكمبيوتر وبعد شوية ببدأ افقد التركيز وعينى تزغلل وعايز اعمل نظارة الكمبيوتر
بس فى ناس ومواقع كاتبة ليها اضرار وملهاش فوائد
ومواقع تانية كاتبة ليها...","I work for long periods of time at the computer, and after a while I start to lose focus and my eyes get blurry and I want to wear computer glasses.
But there are people and writing sites that have harm and no benefits
And other sites I write about...",0
هل هذا مفيد ومكمل مفيد للجنين وامه وماهي اهم فوايده,"Is this a useful and beneficial supplement for the fetus and its mother, and what are its most important benefits?",0
ما هي فوائد لبن جوز الهند؟,What are the benefits of coconut milk?,0
ما هي فوائد حليب جوز الهند للشعر؟,What are the benefits of coconut milk for hair?,0
ما هي فوائد ماسك الشاي الأخضر؟,What are the benefits of green tea mask?,0
منذ شهر ونصف ظهرت بقعة في رأسه بيضاء فاستشرت الصيدلي ووصف له محلول مطهر مع كريم ولكن المشكله زادت وظهر أكثر من بقعه واستخدمت أيضا مرهم اليكاسال ودون فائده وذهبت...,"A month and a half ago, a white spot appeared on his head, so I consulted the pharmacist and prescribed an antiseptic solution with cream, but the problem increased and more spots appeared. I also used Elixal ointment, but it was of no use and it was gone...",0
ما هي فوائد الخيار للبشرة ؟,What are the benefits of cucumber for the skin?,0
ما هي فوائد لبن الزبادي للبشرة,What are the benefits of yogurt for the skin?,0
"أنا أرضع ابني من البداية طبيعي وصناعي لأن حليبي قليل .. وعمر ابني الآن شهر
مع العلم أني أهتم بغذائي وخاصة بما يزيد إدرار الحليب
فهل ابني يحصل على فوائد...","I have been breastfeeding my son from the beginning, both natural and artificial, because my milk is scarce. My son is now a month old
Knowing that I pay attention to my diet, especially what increases milk production
Will my son get benefits?",0
